italy;serie-a;ITA1
italy;serie-b;ITA2
italy;coppa-italia;ITAC
france;ligue-1;FRA1
france;ligue-2;FRA2
france;national;FRA3
france;cup;FRAC1
france;league-cup;FRAC2
england;premier-league;ENG1
england;championship;ENG2
england;league-1;ENG3
england;league-2;ENG4
england;efl-cup;ENGC1
england;fa-cup;ENGC2
spain;primera-liga;SPA1
spain;segunda;SPA2
spain;super-cup;SPAC
germany;bundesliga-i;GER1
germany;bundesliga-ii;GER2
germany;3.liga;GER3
germany;dfb-pokal;GERC
uefa;champions-league;EUR1
uefa;europa-league;EUR2
uefa;europa-conference-league;EUR3
usa;mls;USA1
netherlands;eredivisie;OLA1
netherlands;cup;OLAC
austria;bundesliga;AUS1
austria;2.-liga;AUS2
austria;cup;AUSC
switzerland;super-league;SWI1
switzerland;cup;SWIC
russia;premier-league;RUS1
russia;cup;RUSC
portugal;primeira-liga;POR1
portugal;segunda-liga;POR2
belgium;first-division-a;BEL1
belgium;cup;BELC
turkey;super-lig;TUR1
turkey;1-lig;TUR2
denmark;superliga;DAN1
denmark;cup;DANC
norway;eliteserien;NOR1
norway;cup;NORC
romania;liga-1;ROM1
romania;cup;ROMC
ukraine;premier-league;UKR1
ukraine;cup;UKRC
greece;super-league;GRE1
greece;cup;GREC
hungary;nb-i;HUN1
hungary;cup;HUNC
republic-of-ireland;premier-division;IRE1
republic-of-ireland;fai-cup;IREC
israel;premier-league;ISR1
israel;cup;ISRC
czech;republic-first-league;CZE1
czech;republic-cup;CZEC
scotland;premiership;SCO1
scotland;championship;SCO2
scotland;league-cup;SCOC
cyprus;division-1;CYP1
cyprus;cup;CYP1C
serbia;super-liga;SER1
serbia;cup;SER1C
azerbaijan;premier-league;AZE1
malta;premier-league;MAL1
poland;ekstraklasa;POL1
poland;division-1;POL2
croatia;1.hnl;CRO1
qatar;qsl;QAT1
bulgaria;parva-liga;BUL1
bulgaria;bulgarian-cup;BULC
slovenia;prva-liga;SLO1
slovakia;fortuna-liga;SLK1
china;super-league;CHI1
south-korea;k-league-1;SOU1
australia;a-league;AST1
egypt;premier-league;EGY1
brazil;campeonato-paulista;BRAP
south-america;copa-libertadores;SAMC
uruguay;primera-division;URU1
colombia;primera-a;COL1
brazil;serie-a;BRA1

